Course Code,Course Name,Stream,Interests,Job Roles,Industries,Core Skills
32,Ayurveda Medicine and Surgery,Biological Science,"Ayurveda Medicine and Surgery, Human anatomy, Medical research, Patient care, Surgery, Clinical diagnostics, Healthcare tech, Saving lives, Pharmacology, Public health policy, Emergency care, Pathology, Healthcare, Medical diagnostics, Clinical research, Disease prevention, Public health, Biology, Emergency response","Medical Officer, Surgeon, General Practitioner, Clinical Researcher, Hospital Administrator, Medical Consultant, Specialist Doctor, Epidemiologist, Medical Lecturer, Public Health Director, Ayurvedic Doctor, Herbalist, Medical Doctor, Healthcare Consultant, Specialist, Therapist, Pharmacist, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
33,Unani Medicine and Surgery,Biological Science,"Unani Medicine and Surgery, Human anatomy, Medical research, Patient care, Surgery, Clinical diagnostics, Healthcare tech, Saving lives, Pharmacology, Public health policy, Emergency care, Pathology, Healthcare, Medical diagnostics, Clinical research, Disease prevention, Public health, Biology, Emergency response","Medical Officer, Surgeon, General Practitioner, Clinical Researcher, Hospital Administrator, Medical Consultant, Specialist Doctor, Epidemiologist, Medical Lecturer, Public Health Director, Medical Doctor, Healthcare Consultant, Specialist, Therapist, Pharmacist, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
36,Siddha Medicine and Surgery,Biological Science,"Siddha Medicine and Surgery, Human anatomy, Medical research, Patient care, Surgery, Clinical diagnostics, Healthcare tech, Saving lives, Pharmacology, Public health policy, Emergency care, Pathology, Healthcare, Medical diagnostics, Clinical research, Disease prevention, Public health, Biology, Emergency response","Medical Officer, Surgeon, General Practitioner, Clinical Researcher, Hospital Administrator, Medical Consultant, Specialist Doctor, Epidemiologist, Medical Lecturer, Public Health Director, Medical Doctor, Healthcare Consultant, Specialist, Therapist, Pharmacist, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
6,Biological Science,Biological Science,"Biological Science, Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Nature, Environment","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Pharmaceuticals, Biotechnology","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Laboratory skills, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Experiment design"
7,Applied Sciences (Biological Science),Biological Science,"Applied Sciences (Biological Science), Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Nature, Environment","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Pharmaceuticals, Biotechnology","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Laboratory skills, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Experiment design"
50,Health Promotion,Biological Science,"Health Promotion, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Scientific research, Experiments, Mathematics, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Scientific Research, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
37,Nursing,Biological Science,"Nursing, Patient care, Healthcare, Empathy, Medical procedures, Anatomy, Assisting doctors, Public health, Pediatrics, Emergency care, Mental health, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Biology, Emergency response","Registered Nurse, Nurse Practitioner, Clinical Nurse Specialist, Nurse Educator, Pediatric Nurse, ER Nurse, Public Health Nurse, Nursing Administrator, Midwife, Surgical Nurse, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Healthcare, Hospitals & Clinics, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Rehabilitation Centers, NGOs, Government Health Services, Medical Education","Clinical Skills, Patient Communication, Empathy, Attention to Detail, Critical Thinking, Medical Diagnostics, First Aid, Stress Management, Anatomy & Physiology, Teamwork, Anatomy Knowledge, Observation"
51,Pharmacy,Biological Science,"Pharmacy, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Healthcare, Patient care, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Biology, Emergency response","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Hospitals & Clinics, Healthcare, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Government Health Services, Medical Education","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Clinical Skills, Patient Communication, Medical Diagnostics, First Aid, Anatomy Knowledge, Stress Management, Observation"
52,Medical Laboratory Sciences,Biological Science,"Medical Laboratory Sciences, Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Healthcare, Patient care, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Emergency response","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Hospitals & Clinics, Healthcare, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Government Health Services, Medical Education, NGOs","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Clinical Skills, Patient Communication, Medical Diagnostics, Empathy, First Aid, Anatomy Knowledge, Stress Management"
53,Radiography,Biological Science,"Radiography, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Healthcare, Patient care, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Biology, Emergency response","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Hospitals & Clinics, Healthcare, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Government Health Services, Medical Education","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Clinical Skills, Patient Communication, Medical Diagnostics, First Aid, Anatomy Knowledge, Stress Management, Observation"
54,Physiotherapy,Biological Science,"Physiotherapy, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Healthcare, Patient care, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Biology, Emergency response","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Hospitals & Clinics, Healthcare, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Government Health Services, Medical Education","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Clinical Skills, Patient Communication, Medical Diagnostics, First Aid, Anatomy Knowledge, Stress Management, Observation"
58,Biochemistry & Molecular Biology,Biological Science,"Biochemistry & Molecular Biology, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Scientific research, Experiments, Mathematics, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Scientific Research, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
62,Fisheries & Marine Sciences,Biological Science,"Fisheries & Marine Sciences, Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
55,Environmental Conservation & Management,Biological Science,"Environmental Conservation & Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
86,Animal Science & Fisheries,Biological Science,"Animal Science & Fisheries, Scientific research, Data analysis, Experiments, Mathematics, Biology, Chemistry, Physics, Problem solving, Laboratory work, Discovering new things, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Academic Researcher, Science Teacher, Quality Control Inspector, Environmental Consultant, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Scientific Research, Education, Environmental Services, Manufacturing, Government Research Institutes, Chemical Industry, Space & Aeronautics, Biotech, Data Analytics, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Laboratory Skills, Data Analysis, Statistical Modeling, Critical Thinking, Research Methodology, Report Writing, Mathematical Calculation, Experiment Design, Scientific Computing, Observation, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
87,Food Production & Technology Management,Biological Science,"Food Production & Technology Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
93,Agricultural Resource Management and Technology,Biological Science,"Agricultural Resource Management and Technology, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
94,Agribusiness Management,Biological Science,"Agribusiness Management, Business strategy, Leadership, Organizational behavior, Operations, Project management, Entrepreneurship, Problem solving, Data analysis, Team building, Economics, Corporate governance, Business, Money & Finance, Marketing, Working with people, Startups, Sales, Managing teams, Strategic planning, Corporate world","Business Manager, Management Consultant, Operations Manager, Project Manager, Entrepreneur, Business Analyst, General Manager, Strategic Planner, Corporate Executive, Supply Chain Manager, Accountant, Financial Analyst, Marketing Executive, HR Manager, Banker, Logistics Manager, Sales Director","Banking & Finance, Corporate Sector, Retail, Marketing & Advertising, Supply Chain & Logistics, Real Estate, Insurance, Consulting, E-commerce, FMCG, Human Resources, Startups","Leadership, Financial Analysis, Communication, Strategic Planning, Negotiation, Marketing, Problem Solving, Time Management, Team Building, Data-driven Decision Making, Financial analysis, Strategic planning, Accounting, Problem solving, Time management, Data-driven decision making"
95,Green Technology,Biological Science,"Green Technology, Coding, Algorithms, Software development, Artificial Intelligence, Data structures, Problem solving, System architecture, Cybersecurity, Cloud computing, Mathematics, Scientific research, Experiments, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Software Engineer, Systems Architect, AI/ML Engineer, Backend Developer, Data Scientist, IT Consultant, Cybersecurity Analyst, Cloud Solutions Architect, Tech Lead, Systems Analyst, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Information Technology, Software Development, Cybersecurity, Cloud Computing, FinTech, E-commerce, Telecommunications, AI/ML Research, Consulting, Tech Startups, Scientific Research, Education, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Programming, System Design, Problem Solving, Algorithm Design, Database Management, Cloud Computing, Networking, Cybersecurity, Version Control (Git), Agile Methodologies, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
67,Animal Production and Food Technology,Biological Science,"Animal Production and Food Technology, Coding, Algorithms, Software development, Artificial Intelligence, Data structures, Problem solving, System architecture, Cybersecurity, Cloud computing, Mathematics, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Software Engineer, Systems Architect, AI/ML Engineer, Backend Developer, Data Scientist, IT Consultant, Cybersecurity Analyst, Cloud Solutions Architect, Tech Lead, Systems Analyst, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Information Technology, Software Development, Cybersecurity, Cloud Computing, FinTech, E-commerce, Telecommunications, AI/ML Research, Consulting, Tech Startups, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Programming, System Design, Problem Solving, Algorithm Design, Database Management, Cloud Computing, Networking, Cybersecurity, Version Control (Git), Agile Methodologies, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
73,Export Agriculture,Biological Science,"Export Agriculture, Farming technologies, Crop science, Soil management, Agribusiness, Sustainability, Plant pathology, Genetics, Food production, Environmental conservation, Agricultural machinery, Botany, Farming, Animals, Nature, Environment, Marine life, Outdoors, Climate change, Agri-business","Agronomist, Agricultural Scientist, Farm Manager, Plant Breeder, Soil Scientist, Agribusiness Manager, Agricultural Extension Officer, Horticulturist, Crop Consultant, Agricultural Economist, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Agriculture & Farming, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Agrochemicals, Marine & Fisheries, Forestry, Research, Sustainable Energy, Agriculture, Government Agri Departments","Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability Practices, Farm Machinery Handling, Supply Chain Management, Research Skills, Soil Analysis, Pest Management, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
88,Aquatic Resources Technology,Biological Science,"Aquatic Resources Technology, Coding, Algorithms, Software development, Artificial Intelligence, Data structures, Problem solving, System architecture, Cybersecurity, Cloud computing, Mathematics, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Software Engineer, Systems Architect, AI/ML Engineer, Backend Developer, Data Scientist, IT Consultant, Cybersecurity Analyst, Cloud Solutions Architect, Tech Lead, Systems Analyst, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Information Technology, Software Development, Cybersecurity, Cloud Computing, FinTech, E-commerce, Telecommunications, AI/ML Research, Consulting, Tech Startups, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Programming, System Design, Problem Solving, Algorithm Design, Database Management, Cloud Computing, Networking, Cybersecurity, Version Control (Git), Agile Methodologies, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
115,Occupational Therapy,Biological Science,"Occupational Therapy, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Scientific research, Experiments, Mathematics, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Scientific Research, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
116,Optometry,Biological Science,"Optometry, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Healthcare, Patient care, Human anatomy, Medical diagnostics, Clinical research, Disease prevention, Saving lives, Pharmacology, Public health, Biology, Emergency response","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Medical Doctor, Surgeon, Healthcare Consultant, Clinical Researcher, Specialist, Therapist, Pharmacist, Medical Officer, Hospital Administrator, Public Health Official","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Hospitals & Clinics, Healthcare, Pharmaceuticals, Public Health, Medical Devices, Biotechnology, Government Health Services, Medical Education","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Clinical Skills, Patient Communication, Medical Diagnostics, First Aid, Anatomy Knowledge, Stress Management, Observation"
118,Applied Chemistry,Biological Science,"Applied Chemistry, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Scientific research, Experiments, Mathematics, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Scientific Research, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
120,Indigenous Medicinal Resources,Biological Science,"Indigenous Medicinal Resources, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Scientific research, Experiments, Mathematics, Nature, Biology, Chemistry, Physics, Data analysis, Discovering new things, Laboratory work, Environment","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Research Scientist, Lab Technician, Data Analyst, Statistician, Chemist, Biologist, Quality Control Inspector, Environmental Consultant, Academic Researcher, Science Teacher","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Scientific Research, Pharmaceuticals, Environmental Services, Manufacturing, Government Research Institutes, Biotechnology, Data Analytics, Chemical Industry","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Laboratory skills, Data Analysis, Statistical modeling, Critical thinking, Research methodology, Report writing, Mathematical calculation, Observation, Experiment design"
129,Aquatic Bioresources,Biological Science,"Aquatic Bioresources, Writing, Reading, History, Languages, Culture, Society, Human behavior, Creativity, Public speaking, Media and Journalism, Farming, Animals, Nature, Environment, Food production, Botany, Sustainability, Marine life, Outdoors, Climate change, Agri-business","Journalist, Teacher/Lecturer, Translator, Writer/Author, Social Worker, Public Relations Officer, Media Producer, Historian, Sociologist, Diplomat, Agricultural Scientist, Farm Manager, Food Technologist, Environmental Officer, Plantation Manager, Marine Biologist, Agronomist, Quality Assurance Manager, Export Manager, Sustainability Consultant","Education, Media & Journalism, Entertainment, Publishing, Government, NGOs, Tourism & Culture, Public Relations, Diplomacy, Social Services, Agriculture, Food & Beverage Production, Plantations, Export & Trade, Environmental Conservation, Government Agri Departments, Marine & Fisheries, Sustainable Energy","Writing, Public Speaking, Critical Thinking, Creativity, Empathy, Cultural Awareness, Language Proficiency, Research, Interpersonal Skills, Communication, Agricultural Management, Food Safety Standards, Environmental Assessment, Biology, Sustainability practices, Farm machinery handling, Supply chain management, Research skills, Soil analysis"
